"","x"
"1",""
"2","Market Research|Marketing|Crowdfunding"
"3","Analytics|Cloud Computing|Software Development"
"4","Mobile|Analytics"
"5","Analytics|Marketing|Enterprise Software"
"6","Food & Beverages|Hospitality"
"7","Analytics"
"8","Cloud Computing|Network / Hosting / Infrastructure"
"9","Analytics|Mobile|Marketing"
"10","Healthcare|Pharmaceuticals|Analytics"
"11","Analytics|Enterprise Software"
"12",""
"13","Media|Finance|Marketing"
"14","Music|Analytics"
"15","E-Commerce|Gaming|Analytics"
"16","Healthcare|Analytics"
"17","Analytics"
"18","Marketing"
"19",""
"20","Advertising|Retail|Mobile"
"21","Marketing"
"22",""
"23","Analytics"
"24",""
"25","Mobile|Retail"
"26","Analytics"
"27","Analytics|Finance"
"28",""
"29","Analytics"
"30","Software Development"
"31","Marketing|Software Development|Analytics"
"32","Security"
"33","Analytics"
"34","Advertising"
"35",""
"36","Marketing|Email"
"37","Analytics|Security|Network / Hosting / Infrastructure"
"38","Human Resources (HR)|Marketing|Career / Job Search"
"39","Cloud Computing|Healthcare|E-Commerce"
"40","Media|Analytics|Publishing|Mobile|Education"
"41","E-Commerce|Energy|Media"
"42","Media|Analytics"
"43",""
"44",""
"45",""
"46",""
"47","Analytics|Enterprise Software"
"48",""
"49","Analytics"
"50",""
"51","E-Commerce|Analytics"
"52","E-Commerce|Advertising|Analytics"
"53","Enterprise Software"
"54",""
"55",""
"56","Cloud Computing"
"57","Advertising|Marketing|Analytics"
"58","Analytics|Advertising|Cloud Computing|Marketing"
"59",""
"60","Analytics|Network / Hosting / Infrastructure"
"61","Finance"
"62","Mobile|Analytics"
"63","E-Commerce|Marketing"
"64","Education|E-Commerce|Mobile"
"65",""
"66",""
"67","E-Commerce|Retail|Marketing|Mobile|Advertising|Deals"
"68","Analytics|Market Research|Mobile"
"69","Advertising|Mobile|Analytics"
"70","Analytics"
"71","Media|Analytics|Entertainment"
"72","Analytics|Retail|Mobile"
"73","Analytics|Cloud Computing"
"74","Analytics"
"75","Transportation|Analytics"
"76","Analytics|Publishing|Mobile"
"77","Analytics|Mobile"
"78","Human Resources (HR)|Enterprise Software|Career / Job Search|Social Networking|Analytics"
"79","Analytics|Marketing"
"80","Analytics"
"81","Analytics|Marketing"
"82","Analytics"
"83","E-Commerce|Analytics"
"84","Media|Marketing|Analytics"
"85","Analytics|Marketing"
"86","Analytics|Food & Beverages|Social Networking|Mobile"
"87","E-Commerce|Analytics|Advertising|Mobile"
"88","Media|Advertising|Analytics|Marketing"
"89","Analytics"
"90","E-Commerce|Retail|Analytics"
"91","Social Networking"
"92","Healthcare"
"93","E-Commerce|Mobile"
"94","Healthcare"
"95","Analytics"
"96","Enterprise Software"
"97",""
"98","Real Estate"
"99",""
"100","E-Commerce"
"101",""
"102","Analytics"
"103","Analytics"
"104","Analytics"
"105","Analytics|Marketing"
"106","Mobile|Advertising|Social Networking|Marketing|E-Commerce|Analytics|Enterprise Software"
"107","Network / Hosting / Infrastructure|Food & Beverages|Analytics"
"108","Analytics|E-Commerce|Marketing"
"109","Retail"
"110","Market Research"
"111","Analytics"
"112",""
"113",""
"114","Retail|Mobile"
"115","Mobile|Marketing"
"116",""
"117","Analytics|Marketing"
"118","Network / Hosting / Infrastructure"
"119","Enterprise Software"
"120","Real Estate|Mobile|E-Commerce"
"121","Media|Entertainment|Analytics|Network / Hosting / Infrastructure|Publishing"
"122","E-Commerce|Email|Analytics|Marketing"
"123","Analytics|Crowdfunding|Search|Marketing"
"124","Analytics|Healthcare"
"125","Network / Hosting / Infrastructure|Enterprise Software|Software Development|Analytics"
"126",""
"127","Marketing"
"128",""
"129","Market Research"
"130","Healthcare"
"131","Analytics|Mobile|Marketing"
"132","Marketing"
"133","Analytics|Telecommunications"
"134","Marketing"
"135","Marketing|Enterprise Software|Analytics"
"136",""
